email,label
Urgent: Your bank account has been locked. Immediate action required!,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Project deadline approaching. Please submit your work by EOD.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Get paid to answer surveys! Start earning money today.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Meeting at 10am in conference room.,0
Final reminder: Your account will be locked unless you update your information.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Your account has been suspended. Click here to verify.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Your account has been suspended. Click here to verify.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Meeting at 10am in conference room.,0
Your account has been suspended. Click here to verify.,1
Final reminder: Your account will be locked unless you update your information.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Project update: please review the attached files and send feedback.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Project update: please review the attached files and send feedback.,0
Your account has been suspended. Click here to verify.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Get paid to answer surveys! Start earning money today.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Your bank statement for the last month is ready to download.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Important: Update your payment information to avoid account deactivation.,1
Warning: Your account has been compromised. Change your password immediately.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Your bank statement for the last month is ready to download.,0
Important: Update your payment information to avoid account deactivation.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Project deadline approaching. Please submit your work by EOD.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Your bank statement for the last month is ready to download.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Project deadline approaching. Please submit your work by EOD.,0
Important: Update your payment information to avoid account deactivation.,1
Meeting at 10am in conference room.,0
Reminder: Your bank statement for the last month is ready to download.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Suspicious activity detected on your account. Please login to secure your data.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Project update: please review the attached files and send feedback.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Project update: please review the attached files and send feedback.,0
Important: Update your payment information to avoid account deactivation.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Project update: please review the attached files and send feedback.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Meeting at 10am in conference room.,0
Reminder: Your bank statement for the last month is ready to download.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Get paid to answer surveys! Start earning money today.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Project update: please review the attached files and send feedback.,0
Your Amazon order has shipped. Track your package now.,0
Get paid to answer surveys! Start earning money today.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Project update: please review the attached files and send feedback.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Warning: Your account has been compromised. Change your password immediately.,1
Warning: Your account has been compromised. Change your password immediately.,1
Your Amazon order has shipped. Track your package now.,0
Warning: Your account has been compromised. Change your password immediately.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Project update: please review the attached files and send feedback.,0
Get paid to answer surveys! Start earning money today.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Get paid to answer surveys! Start earning money today.,0
Your Amazon order has shipped. Track your package now.,0
Warning: Your account has been compromised. Change your password immediately.,1
Important: Update your payment information to avoid account deactivation.,1
Your Amazon order has shipped. Track your package now.,0
Get paid to answer surveys! Start earning money today.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Project update: please review the attached files and send feedback.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Final reminder: Your account will be locked unless you update your information.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Warning: Your account has been compromised. Change your password immediately.,1
Final reminder: Your account will be locked unless you update your information.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Your bank statement for the last month is ready to download.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Project update: please review the attached files and send feedback.,0
Your account has been suspended. Click here to verify.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Warning: Your account has been compromised. Change your password immediately.,1
Your Amazon order has shipped. Track your package now.,0
Final reminder: Your account will be locked unless you update your information.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Your bank statement for the last month is ready to download.,0
Meeting at 10am in conference room.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Meeting at 10am in conference room.,0
Important: Update your payment information to avoid account deactivation.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Your bank statement for the last month is ready to download.,0
Project update: please review the attached files and send feedback.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Get paid to answer surveys! Start earning money today.,0
Reminder: Your bank statement for the last month is ready to download.,0
Reminder: Your bank statement for the last month is ready to download.,0
Reminder: Your bank statement for the last month is ready to download.,0
Meeting at 10am in conference room.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Important: Update your payment information to avoid account deactivation.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Project update: please review the attached files and send feedback.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Project update: please review the attached files and send feedback.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Suspicious activity detected on your account. Please login to secure your data.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Project update: please review the attached files and send feedback.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Meeting at 10am in conference room.,0
Get paid to answer surveys! Start earning money today.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Your Amazon order has shipped. Track your package now.,0
Reminder: Your bank statement for the last month is ready to download.,0
Project update: please review the attached files and send feedback.,0
Warning: Your account has been compromised. Change your password immediately.,1
Your account has been suspended. Click here to verify.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Final reminder: Your account will be locked unless you update your information.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Project update: please review the attached files and send feedback.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Warning: Your account has been compromised. Change your password immediately.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Warning: Your account has been compromised. Change your password immediately.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Meeting at 10am in conference room.,0
Meeting at 10am in conference room.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Project deadline approaching. Please submit your work by EOD.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Your bank statement for the last month is ready to download.,0
Meeting at 10am in conference room.,0
Warning: Your account has been compromised. Change your password immediately.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Get paid to answer surveys! Start earning money today.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Important: Update your payment information to avoid account deactivation.,1
Project deadline approaching. Please submit your work by EOD.,0
Important: Update your payment information to avoid account deactivation.,1
Project deadline approaching. Please submit your work by EOD.,0
Meeting at 10am in conference room.,0
Reminder: Your bank statement for the last month is ready to download.,0
Reminder: Your bank statement for the last month is ready to download.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Reminder: Your bank statement for the last month is ready to download.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Suspicious activity detected on your account. Please login to secure your data.,1
Reminder: Your bank statement for the last month is ready to download.,0
Reminder: Your bank statement for the last month is ready to download.,0
Your Amazon order has shipped. Track your package now.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Meeting at 10am in conference room.,0
Project deadline approaching. Please submit your work by EOD.,0
Project deadline approaching. Please submit your work by EOD.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Final reminder: Your account will be locked unless you update your information.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Your Amazon order has shipped. Track your package now.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Important: Update your payment information to avoid account deactivation.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Reminder: Your bank statement for the last month is ready to download.,0
Important: Update your payment information to avoid account deactivation.,1
Your account has been suspended. Click here to verify.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Project deadline approaching. Please submit your work by EOD.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Your Amazon order has shipped. Track your package now.,0
Warning: Your account has been compromised. Change your password immediately.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Project deadline approaching. Please submit your work by EOD.,0
Project deadline approaching. Please submit your work by EOD.,0
Warning: Your account has been compromised. Change your password immediately.,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Important: Update your payment information to avoid account deactivation.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Project update: please review the attached files and send feedback.,0
Your Amazon order has shipped. Track your package now.,0
Get paid to answer surveys! Start earning money today.,0
Final reminder: Your account will be locked unless you update your information.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Your Amazon order has shipped. Track your package now.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Suspicious activity detected on your account. Please login to secure your data.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Meeting at 10am in conference room.,0
Get paid to answer surveys! Start earning money today.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Warning: Your account has been compromised. Change your password immediately.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Get paid to answer surveys! Start earning money today.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Final reminder: Your account will be locked unless you update your information.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Project deadline approaching. Please submit your work by EOD.,0
Warning: Your account has been compromised. Change your password immediately.,1
Important: Update your payment information to avoid account deactivation.,1
Get paid to answer surveys! Start earning money today.,0
Project update: please review the attached files and send feedback.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Project update: please review the attached files and send feedback.,0
Meeting at 10am in conference room.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Your account has been suspended. Click here to verify.,1
Your account has been suspended. Click here to verify.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Your Amazon order has shipped. Track your package now.,0
Meeting at 10am in conference room.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Warning: Your account has been compromised. Change your password immediately.,1
Your account has been suspended. Click here to verify.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Project update: please review the attached files and send feedback.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Get paid to answer surveys! Start earning money today.,0
Your account has been suspended. Click here to verify.,1
Final reminder: Your account will be locked unless you update your information.,1
Warning: Your account has been compromised. Change your password immediately.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Important: Update your payment information to avoid account deactivation.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Final reminder: Your account will be locked unless you update your information.,1
Meeting at 10am in conference room.,0
Project update: please review the attached files and send feedback.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Project deadline approaching. Please submit your work by EOD.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Get paid to answer surveys! Start earning money today.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Project update: please review the attached files and send feedback.,0
Project update: please review the attached files and send feedback.,0
Meeting at 10am in conference room.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Warning: Your account has been compromised. Change your password immediately.,1
Project update: please review the attached files and send feedback.,0
Get paid to answer surveys! Start earning money today.,0
Project update: please review the attached files and send feedback.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Your Amazon order has shipped. Track your package now.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Reminder: Your bank statement for the last month is ready to download.,0
Project update: please review the attached files and send feedback.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Your account has been suspended. Click here to verify.,1
Project deadline approaching. Please submit your work by EOD.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Suspicious activity detected on your account. Please login to secure your data.,1
Get paid to answer surveys! Start earning money today.,0
Project update: please review the attached files and send feedback.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Your account has been suspended. Click here to verify.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Warning: Your account has been compromised. Change your password immediately.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Reminder: Your bank statement for the last month is ready to download.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Final reminder: Your account will be locked unless you update your information.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Warning: Your account has been compromised. Change your password immediately.,1
Your account has been suspended. Click here to verify.,1
Warning: Your account has been compromised. Change your password immediately.,1
Your account has been suspended. Click here to verify.,1
Project update: please review the attached files and send feedback.,0
Get paid to answer surveys! Start earning money today.,0
Your Amazon order has shipped. Track your package now.,0
Reminder: Your bank statement for the last month is ready to download.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Final reminder: Your account will be locked unless you update your information.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Your bank statement for the last month is ready to download.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Project deadline approaching. Please submit your work by EOD.,0
Get paid to answer surveys! Start earning money today.,0
Get paid to answer surveys! Start earning money today.,0
Final reminder: Your account will be locked unless you update your information.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Important: Update your payment information to avoid account deactivation.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Your Amazon order has shipped. Track your package now.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Your account has been suspended. Click here to verify.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Project deadline approaching. Please submit your work by EOD.,0
Warning: Your account has been compromised. Change your password immediately.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Warning: Your account has been compromised. Change your password immediately.,1
Get paid to answer surveys! Start earning money today.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Meeting at 10am in conference room.,0
Your account has been suspended. Click here to verify.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Suspicious activity detected on your account. Please login to secure your data.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Get paid to answer surveys! Start earning money today.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Project update: please review the attached files and send feedback.,0
Your account has been suspended. Click here to verify.,1
Get paid to answer surveys! Start earning money today.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Project update: please review the attached files and send feedback.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Warning: Your account has been compromised. Change your password immediately.,1
Meeting at 10am in conference room.,0
Your account has been suspended. Click here to verify.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Project deadline approaching. Please submit your work by EOD.,0
Final reminder: Your account will be locked unless you update your information.,1
Get paid to answer surveys! Start earning money today.,0
Final reminder: Your account will be locked unless you update your information.,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Project deadline approaching. Please submit your work by EOD.,0
Your account has been suspended. Click here to verify.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Your account has been suspended. Click here to verify.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Project update: please review the attached files and send feedback.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Your account has been suspended. Click here to verify.,1
Your Amazon order has shipped. Track your package now.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Important: Update your payment information to avoid account deactivation.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Project deadline approaching. Please submit your work by EOD.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Get paid to answer surveys! Start earning money today.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Reminder: Your bank statement for the last month is ready to download.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Important: Update your payment information to avoid account deactivation.,1
Get paid to answer surveys! Start earning money today.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Urgent: Your bank account has been locked. Immediate action required!,1
Project update: please review the attached files and send feedback.,0
Your account has been suspended. Click here to verify.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Suspicious activity detected on your account. Please login to secure your data.,1
Meeting at 10am in conference room.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Reminder: Your bank statement for the last month is ready to download.,0
Project deadline approaching. Please submit your work by EOD.,0
Get paid to answer surveys! Start earning money today.,0
Reminder: Your bank statement for the last month is ready to download.,0
Your Amazon order has shipped. Track your package now.,0
Your Amazon order has shipped. Track your package now.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Project deadline approaching. Please submit your work by EOD.,0
Meeting at 10am in conference room.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Your account has been suspended. Click here to verify.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Your bank statement for the last month is ready to download.,0
Final reminder: Your account will be locked unless you update your information.,1
Get paid to answer surveys! Start earning money today.,0
Your account has been suspended. Click here to verify.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Congratulations! You've won a free iPhone. Click here to claim it.,1
Meeting at 10am in conference room.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Warning: Your account has been compromised. Change your password immediately.,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Your Amazon order has shipped. Track your package now.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Get paid to answer surveys! Start earning money today.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Your account has been suspended. Click here to verify.,1
Reminder: Your bank statement for the last month is ready to download.,0
Your account has been suspended. Click here to verify.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Reminder: Your bank statement for the last month is ready to download.,0
Important: Update your payment information to avoid account deactivation.,1
Project update: please review the attached files and send feedback.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Your bank statement for the last month is ready to download.,0
Final reminder: Your account will be locked unless you update your information.,1
Project deadline approaching. Please submit your work by EOD.,0
Reminder: Your bank statement for the last month is ready to download.,0
Urgent: Your bank account has been locked. Immediate action required!,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Suspicious activity detected on your account. Please login to secure your data.,1
Project deadline approaching. Please submit your work by EOD.,0
Final reminder: Your account will be locked unless you update your information.,1
Suspicious activity detected on your account. Please login to secure your data.,1
Reminder: Your bank statement for the last month is ready to download.,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Meeting at 10am in conference room.,0
Your Amazon order has shipped. Track your package now.,0
Your account has been suspended. Click here to verify.,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Congratulations! You've won a $1000 gift card. Claim now!,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Project update: please review the attached files and send feedback.,0
Reminder: Your bank statement for the last month is ready to download.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Meeting at 10am in conference room.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Your Amazon order has shipped. Track your package now.,0
Project deadline approaching. Please submit your work by EOD.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Your account has been suspended. Click here to verify.,1
Reminder: Your bank statement for the last month is ready to download.,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Project deadline approaching. Please submit your work by EOD.,0
Security alert: Someone has logged into your account from an unrecognized device.,1
Reminder: Your bank statement for the last month is ready to download.,0
Warning: Your account has been compromised. Change your password immediately.,1
Warning: Your account has been compromised. Change your password immediately.,1
Security alert: Someone has logged into your account from an unrecognized device.,1
Warning: Your account has been compromised. Change your password immediately.,1
Meeting at 10am in conference room.,0
Congratulations! You've won a free iPhone. Click here to claim it.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Hurry! Your chance to win a prize ends today. Enter now!,1
Urgent: Your bank account has been locked. Immediate action required!,1
Urgent: Your bank account has been locked. Immediate action required!,1
Warning: Your account has been compromised. Change your password immediately.,1
Important: Update your payment information to avoid account deactivation.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Your Amazon order has shipped. Track your package now.,0
Hurry! Your chance to win a prize ends today. Enter now!,1
Your Amazon order has shipped. Track your package now.,0
Project update: please review the attached files and send feedback.,0
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Project update: please review the attached files and send feedback.,0
Reminder: Your bank statement for the last month is ready to download.,0
Final reminder: Your account will be locked unless you update your information.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Limited time offer: Save up to 50% on your next purchase. Shop now!,0
Your account has been suspended. Click here to verify.,1
Get paid to answer surveys! Start earning money today.,0
Final reminder: Your account will be locked unless you update your information.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Urgent: Your bank account has been locked. Immediate action required!,1
Urgent: Your bank account has been locked. Immediate action required!,1
Important: Update your payment information to avoid account deactivation.,1
Important: Update your payment information to avoid account deactivation.,1
Reminder: Your bank statement for the last month is ready to download.,0
Your subscription is expiring soon. Renew now to avoid interruptions.,0
Reminder: Team meeting tomorrow at 3 PM. Don't miss it!,0
Final reminder: Your account will be locked unless you update your information.,1
Urgent: Your bank account has been locked. Immediate action required!,1
Congratulations! You've won a $1000 gift card. Claim now!,1
Meeting at 10am in conference room.,0
Suspicious activity detected on your account. Please login to secure your data.,1
Exclusive offer: Get 3 months free on your subscription. Claim now!,0
Meeting at 10am in conference room.,0
